VCD info: dumpfile divisor.vcd opened for output.
$readmemh(DatosDivisor.dat): Not enough words in the read file for requested range.
                 300  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 001e
                 302  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 001f
                 304  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 003e
                 306  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 003f
                 308  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 007e
                 310  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 007f
                 312  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 00fe
                 314  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 00ff
                 316  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 01fe
                 318  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 01ff
                 320  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 03fe
                 322  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 03ff
                 324  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 07fe
                 326  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 07ff
                 328  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 0ffe
                 330  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 0fff
                 332  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 1ffe
                 334  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 1fff
                 336  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 3ffe
                 338  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 3fff
                 340  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: 7ffe
                 342  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: fffc
                 344  done: 0   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: fffd
                 345 **ERROR** Esperando cociente igual a ffff pero resultado es fffd
                 345  done: 1   go: 1   dividendo: 0001ffff   divisor: 0001   cociente: fffd
                 350  done: 1   go: 0   dividendo: 0001ffff   divisor: 0001   cociente: fffd
                 360  done: 1   go: 1   dividendo: 00012345   divisor: 0001   cociente: fffd
                 361  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: fffd
                 363  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0000
                 367  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0001
                 369  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0002
                 371  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0003
                 373  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0006
                 375  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0007
                 377  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 000e
                 379  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 000f
                 381  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 001e
                 383  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 001f
                 385  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 003e
                 387  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 003f
                 389  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 007e
                 391  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 007f
                 393  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 00fe
                 395  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 00ff
                 397  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 01fe
                 399  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 01ff
                 401  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 03fe
                 403  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 03ff
                 405  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 07fe
                 407  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 07ff
                 409  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0ffe
                 411  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 0fff
                 413  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 1ffe
                 415  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 1fff
                 417  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 3ffe
                 419  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 3fff
                 421  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 7ffe
                 423  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: 7fff
                 425  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: fffe
                 427  done: 0   go: 1   dividendo: 00012345   divisor: 0001   cociente: ffff
                 428 **ERROR** Esperando cociente igual a 1234 pero resultado es ffff
                 428  done: 1   go: 1   dividendo: 00012345   divisor: 0001   cociente: ffff
                 433  done: 1   go: 0   dividendo: 00012345   divisor: 0001   cociente: ffff
